address,rssi,dist,battery,txPower,interval,roll
d1:0b:14:b3:18:6a,-60,50,43,6,500,-49.261194214439435
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-49.294336105610704
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-49.36017191230598
e3:6f:28:36:5a:db,-35,50,43,6,500,-49.34438107055048
ef:86:35:dd:c3:f7,-58,50,69,6,500,-49.57395089958367
fc:02:a0:fa:33:19,-51,50,44,6,500,-49.459058467783166
f7:9c:08:9a:42:ed,-48,50,50,6,500,-49.475606473306684
d5:b1:89:8b:b8:c5,-46,50,67,6,500,-49.278789883169175
e2:51:e0:31:ee:0e,-45,50,20,6,500,-49.08198340707872
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.04885864805753
f1:96:cd:ee:25:bd,-52,50,47,6,500,-49.18019224499439
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-49.04903339756923
fc:02:a0:fa:33:19,-41,50,44,6,500,-49.049457660772966
f7:9c:08:9a:42:ed,-65,50,50,6,500,-49.26211585024265
f1:96:cd:ee:25:bd,-52,50,47,6,500,-49.04871464157038
e3:6f:28:36:5a:db,-60,50,43,6,500,-49.327430423953174
e2:51:e0:31:ee:0e,-46,50,20,6,500,-49.32762402220325
d1:0b:14:b3:18:6a,-63,50,43,6,500,-49.589729653294405
ef:86:35:dd:c3:f7,-54,50,69,6,500,-49.49109859578676
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-49.37649692672789
fc:02:a0:fa:33:19,-45,50,44,6,500,-49.13042376172883
e2:51:e0:31:ee:0e,-43,50,20,6,500,-48.90081006754386
f1:96:cd:ee:25:bd,-54,50,47,6,500,-48.90061800238892
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-48.58880272903402
e3:6f:28:36:5a:db,-50,50,43,6,500,-48.68730992020664
d1:0b:14:b3:18:6a,-57,50,43,6,500,-48.85118282521618
f7:9c:08:9a:42:ed,-58,50,50,6,500,-49.14642969350446
ef:86:35:dd:c3:f7,-53,50,69,6,500,-49.17911984652334
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-49.179439226713036
